date,interval,data_type,key
2022-04-13,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-13.zip
2022-04-13,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-13.zip
2022-04-14,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-14.zip
2022-04-14,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-14.zip
2022-04-15,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-15.zip
2022-04-15,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-15.zip
2022-04-16,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-16.zip
2022-04-16,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-16.zip
2022-04-17,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-17.zip
2022-04-17,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-17.zip
2022-04-18,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-18.zip
2022-04-18,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-18.zip
2022-04-19,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-19.zip
2022-04-19,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-19.zip
2022-04-20,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-20.zip
2022-04-20,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-20.zip
2022-04-21,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-21.zip
2022-04-21,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-21.zip
2022-04-22,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-22.zip
2022-04-22,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-22.zip
2022-04-23,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-23.zip
2022-04-23,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-23.zip
2022-04-24,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-24.zip
2022-04-24,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-24.zip
2022-04-25,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-25.zip
2022-04-25,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-25.zip
2022-04-26,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-26.zip
2022-04-26,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-26.zip
2022-04-27,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-27.zip
2022-04-27,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-27.zip
2022-04-28,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-28.zip
2022-04-28,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-28.zip
2022-04-29,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-29.zip
2022-04-29,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-29.zip
2022-04-30,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-04-30.zip
2022-04-30,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-04-30.zip
2022-05-01,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-01.zip
2022-05-01,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-01.zip
2022-05-01,monthly,aggTrades,data/futures/cm/monthly/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05.zip
2022-05-02,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-02.zip
2022-05-02,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-02.zip
2022-05-03,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-03.zip
2022-05-03,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-03.zip
2022-05-04,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-04.zip
2022-05-04,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-04.zip
2022-05-05,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-05.zip
2022-05-05,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-05.zip
2022-05-06,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-06.zip
2022-05-06,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-06.zip
2022-05-07,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-07.zip
2022-05-07,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-07.zip
2022-05-08,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-08.zip
2022-05-08,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-08.zip
2022-05-09,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-09.zip
2022-05-09,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-09.zip
2022-05-10,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-10.zip
2022-05-10,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-10.zip
2022-05-11,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-11.zip
2022-05-11,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-11.zip
2022-05-12,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-12.zip
2022-05-12,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-12.zip
2022-05-13,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-13.zip
2022-05-13,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-13.zip
2022-05-14,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-14.zip
2022-05-14,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-14.zip
2022-05-15,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-15.zip
2022-05-15,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-15.zip
2022-05-16,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-16.zip
2022-05-16,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-16.zip
2022-05-17,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-17.zip
2022-05-17,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-17.zip
2022-05-18,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-18.zip
2022-05-18,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-18.zip
2022-05-19,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-19.zip
2022-05-19,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-19.zip
2022-05-20,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-20.zip
2022-05-20,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-20.zip
2022-05-21,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-21.zip
2022-05-21,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-21.zip
2022-05-22,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-22.zip
2022-05-22,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-22.zip
2022-05-23,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-23.zip
2022-05-23,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-23.zip
2022-05-24,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-24.zip
2022-05-24,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-24.zip
2022-05-25,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-25.zip
2022-05-25,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-25.zip
2022-05-26,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-26.zip
2022-05-26,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-26.zip
2022-05-27,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-27.zip
2022-05-27,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-27.zip
2022-05-28,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-28.zip
2022-05-28,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-28.zip
2022-05-29,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-29.zip
2022-05-29,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-29.zip
2022-05-30,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-30.zip
2022-05-30,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-30.zip
2022-05-31,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-05-31.zip
2022-05-31,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-05-31.zip
2022-06-01,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-01.zip
2022-06-01,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-01.zip
2022-06-01,monthly,aggTrades,data/futures/cm/monthly/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06.zip
2022-06-02,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-02.zip
2022-06-02,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-02.zip
2022-06-03,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-03.zip
2022-06-03,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-03.zip
2022-06-04,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-04.zip
2022-06-04,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-04.zip
2022-06-05,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-05.zip
2022-06-05,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-05.zip
2022-06-06,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-06.zip
2022-06-06,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-06.zip
2022-06-07,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-07.zip
2022-06-07,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-07.zip
2022-06-08,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-08.zip
2022-06-08,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-08.zip
2022-06-09,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-09.zip
2022-06-09,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-09.zip
2022-06-10,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-10.zip
2022-06-10,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-10.zip
2022-06-11,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-11.zip
2022-06-11,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-11.zip
2022-06-12,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-12.zip
2022-06-13,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-13.zip
2022-06-13,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-13.zip
2022-06-14,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-14.zip
2022-06-14,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-14.zip
2022-06-15,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-15.zip
2022-06-15,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-15.zip
2022-06-16,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-16.zip
2022-06-16,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-16.zip
2022-06-17,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-17.zip
2022-06-17,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-17.zip
2022-06-18,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-18.zip
2022-06-18,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-18.zip
2022-06-19,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-19.zip
2022-06-19,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-19.zip
2022-06-20,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-20.zip
2022-06-20,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-20.zip
2022-06-21,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-21.zip
2022-06-21,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-21.zip
2022-06-22,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-22.zip
2022-06-22,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-22.zip
2022-06-23,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-23.zip
2022-06-23,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-23.zip
2022-06-24,daily,aggTrades,data/futures/cm/daily/aggTrades/LINKUSD_220624/LINKUSD_220624-aggTrades-2022-06-24.zip
2022-06-24,daily,metrics,data/futures/cm/daily/metrics/LINKUSD_220624/LINKUSD_220624-metrics-2022-06-24.zip
