date,interval,data_type,key
2026-08-13,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-13.zip
2026-08-14,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-14.zip
2026-08-15,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-15.zip
2026-08-16,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-16.zip
2026-08-17,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-17.zip
2026-08-18,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-18.zip
2026-08-19,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-19.zip
2026-08-20,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-20.zip
2026-08-21,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-21.zip
2026-08-22,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-22.zip
2026-08-23,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-23.zip
2026-08-24,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-24.zip
2026-08-25,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-25.zip
2026-08-26,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-26.zip
2026-08-27,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-27.zip
2026-08-28,daily,aggTrades,data/spot/daily/aggTrades/GRAMTRY/GRAMTRY-aggTrades-2026-08-28.zip
