date,interval,data_type,key
2026-08-06,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-08-06.zip
2026-08-06,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-08-06.zip
2026-08-06,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-08-06.zip
2026-08-07,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-08-07.zip
2026-08-07,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-08-07.zip
2026-08-07,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-08-07.zip
2026-08-08,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-08-08.zip
2026-08-08,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-08-08.zip
2026-08-08,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-08-08.zip
2026-08-09,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-08-09.zip
2026-08-09,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-08-09.zip
2026-08-09,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-08-09.zip
2026-08-10,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-08-10.zip
2026-08-10,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-08-10.zip
2026-08-10,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-08-10.zip
2026-08-11,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-08-11.zip
2026-08-11,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-08-11.zip
2026-08-11,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-08-11.zip
2026-08-12,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-08-12.zip
2026-08-12,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-08-12.zip
2026-08-12,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-08-12.zip
2026-08-13,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-08-13.zip
2026-08-13,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-08-13.zip
2026-08-13,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-08-13.zip
